tconst	averageRating	numVotes
tt10542954	9.4	8
tt10543680	5.7	3879
tt10544356	3.4	19
tt10544518	7.3	58
tt10544978	5.0	25
tt10544980	3.7	52
tt10545470	6.6	819
tt10545474	5.5	13
tt10545476	5.4	51
tt10546234	5.0	6
tt10546354	6.3	42
tt10547442	6.9	9
tt10547906	4.9	38
tt10549312	4.5	2822
tt10549360	8.0	41
tt10550922	7.3	35
tt10551082	8.0	12
tt10551160	6.9	375
tt10551236	4.9	8
tt10551274	5.4	8
tt10551326	5.5	18
tt10551420	6.7	465
tt10551450	6.0	193
tt10551608	8.0	2237
tt10551904	5.6	31
tt10553494	5.2	38
tt10554232	8.3	34836
tt10555482	7.8	274
tt10555578	7.5	13
tt10556022	6.3	5490
tt10556036	7.8	1326
tt10556130	3.7	417
tt10556220	6.1	16
tt10556354	6.8	6
tt10556710	4.0	31
tt10557524	3.5	550
tt10558990	5.4	41
tt10559042	2.3	10
tt10559412	5.8	249
tt10560062	9.0	36
tt10560338	9.6	9
tt10560634	5.2	42
tt10560780	8.9	113
tt10560862	5.4	366
tt10562658	6.4	33
tt10563420	5.6	1058
tt10563920	6.3	90
tt10564446	5.8	260
tt10564792	3.6	7
tt10565666	9.2	6
tt10566928	7.9	509
tt10567388	6.1	98
tt10567444	5.1	144
tt10567498	7.0	5
tt10568552	4.1	76
tt10569638	8.5	28
tt10572668	6.5	26
tt10572710	6.0	21
tt10573946	7.4	22
tt10573984	5.9	186
tt10574728	5.5	177
tt10574948	5.3	23
tt10575710	6.0	47
tt10576270	6.0	6
tt10576278	7.0	68
tt10576540	5.9	91
tt10576542	5.1	21
tt10576868	6.2	5
tt10576946	6.2	102
tt10577318	6.7	129
tt10578206	5.1	119
tt10579768	7.1	22
tt10579936	4.2	10
tt10579992	6.4	1205
tt10579994	5.0	36
tt10580158	9.4	40
tt10581890	7.2	5
tt10582354	6.0	29
tt10582422	6.9	318
tt10582738	5.9	48
tt10583170	7.3	662
tt10583248	7.2	16
tt10583610	4.0	17
tt10583948	8.6	10
tt10584272	6.2	141
tt10584340	5.9	280
tt10584480	7.6	7
tt10584784	6.0	86
tt10585686	4.1	24
tt10589508	5.5	180
tt10589924	6.0	42
tt10590408	6.5	21
tt10590478	6.2	18
tt10590506	7.0	5
tt10592082	7.3	1147
tt10592506	7.2	381
tt10594884	5.6	215
tt10596572	6.8	38
tt10598260	6.2	404
tt10601394	4.5	6
tt10601432	6.9	55
tt10602144	6.6	97
tt10602172	7.4	320
tt10602694	5.6	154
tt10602774	7.2	8
tt10603286	6.5	152
